gdp,population,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,fossil_cons_change_pct,paris_agreement,renewable_growth,renewables_share_energy
-0.2392619396408359,-0.3130966169936744,95.33,4.67,42.316,37.108,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.19383979092483894,0.009,0.001,0.0,0.44853247358705756,4.65,4.655,4.383,4.3134999999999994,4.313,0.12366852570919011,0,0.004301075268817067,4.67
-0.2317679059153682,-0.31240676755920616,95.554,4.446,41.603,36.931,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.1995313083165965,0.01,0.003,0.0,0.4173369943264176,4.67,4.65,4.655,4.383,4.313,0.2266918219671883,0,-0.04796573875803001,4.446
-0.225809271719208,-0.3116237286613847,95.76,4.24,41.945,37.06,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.20816878621775645,0.012,0.004,0.0,0.3861415150657771,4.446,4.67,4.65,4.655,4.383,0.21888771102172305,0,-0.04633378317588832,4.24
-0.21852520906324263,-0.31079568096557203,95.763,4.237,42.416,36.95,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.20411176842190232,0.014,0.004,0.0,0.34974678926169717,4.24,4.446,4.67,4.65,4.655,0.13337244573946802,0,-0.0007075471698113622,4.237
-0.21096361571740926,-0.3100090419982848,95.854,4.146,43.495,36.644,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.2062471411263824,0.016,0.004,0.0,0.3050332689881127,4.237,4.24,4.446,4.67,4.65,0.17036098154642193,0,-0.021477460467311804,4.146
-0.20151434237743654,-0.30925012515181804,95.962,4.038,44.377,35.783,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.2096338808480555,0.018,0.009,0.0,0.2416024611581444,4.146,4.237,4.24,4.446,4.67,0.17746340549157033,0,-0.026049204052098318,4.038
-0.19311280908788084,-0.3084602270908073,95.991,4.009,45.28,35.161,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.2040707087913947,0.02,0.021,0.0,0.23016411876257623,4.038,4.146,4.237,4.24,4.446,0.14427557128971724,0,-0.007181773155027216,4.009
-0.18531580544169607,-0.3075995567390863,96.011,3.989,45.329,34.934,1.4325927043967377,-0.06578871634722726,1.2698318698672328,-0.20636732891899415,0.023,0.06,0.0,0.16153406438916773,4.009,4.038,4.146,4.237,4.24,0.14049795916972038,0,-0.004988775255674871,3.989
-0.1791348516653625,-0.30668693912950057,96.129,3.871,44.526,34.749,1.4203916808705181,-0.05844989638177602,1.324657459174867,-0.21332190580550653,0.022,0.129,0.0,0.11682054411558353,3.989,4.009,4.038,4.146,4.237,0.18158163466589353,0,-0.029581348708949573,3.871
-0.16974181925077522,-0.30578416223843263,96.069,3.931,44.634,34.431,1.384118599337001,-0.06189296892631484,1.2860639721147324,-0.20653890922926116,0.027,0.237,0.0,0.06794762660724729,3.871,3.989,4.009,4.038,4.146,0.1069879691625933,0,0.015499870834409624,3.931
-0.16198819775026885,-0.3048993619056885,95.985,4.015,45.267,33.821,1.373408954871942,-0.05998624747734712,1.284939875043547,-0.19957753439067796,0.027,0.31,0.0,0.027393503568414895,3.931,3.871,3.989,4.009,4.038,0.09691661675575895,0,0.021368608496565633,4.015
-0.15198197039631753,-0.3040030873427307,95.963,4.037,45.706,33.557,1.376241717973744,-0.05621395684090024,1.2925123234519778,-0.19267407810373796,0.031,0.349,0.0,0.0034769694685908396,4.015,3.931,3.871,3.989,4.009,0.12288567561101639,0,0.005479452054794498,4.037
-0.1434031418108008,-0.3030250737576281,95.686,4.314,45.253,33.942,1.3718361499424991,-0.0548970844732679,1.2780571685574829,-0.17784475353840948,0.035,0.563,0.0,-0.05371474250924945,4.037,4.015,3.931,3.871,3.989,0.015924140704499726,0,0.06861530839732488,4.314
-0.13587574576799788,-0.3018542582143935,95.767,4.233,44.566,33.562,1.366243478463147,-0.047448525143847335,1.3196017672682638,-0.1762948204662668,0.042,0.908,0.0,-0.03499745495286532,4.314,4.037,4.015,3.931,3.871,0.1661851319365185,0,-0.018776077885952813,4.233
-0.12325603174310863,-0.3004118515275368,96.023,3.977,43.143,33.613,1.3690548137048748,-0.041591186591982535,1.3298242651893075,-0.1922952962143529,0.045,1.172,0.0,-0.08075082453513764,4.233,4.314,4.037,4.015,3.931,0.2397100658829445,0,-0.060477202929364426,3.977
-0.11571375439969235,-0.2987583412078187,96.319,3.681,44.217,33.473,1.3705804773421542,-0.039094616061679514,1.3021395044830069,-0.21246672343499975,0.057,1.41,0.0,-0.10154781070889779,3.977,4.233,4.314,4.037,4.015,0.25619066942662094,0,-0.07442796077445302,3.681
-0.10856744582820782,-0.2971207774513071,96.08,3.92,43.381,33.397,1.3431828154513492,-0.036378566803437776,1.2996073764642846,-0.20407696290729982,0.116,1.777,0.0,-0.17017786508230628,3.681,3.977,4.233,4.314,4.037,0.03223371418262418,0,0.06492800869328974,3.92
-0.0998685277444745,-0.2957003042273193,95.687,4.313,40.256,34.418,1.302709873343299,-0.03847733213935186,1.2690578041950453,-0.18349629897199077,0.39,1.988,0.0,-0.22113048120801854,3.92,3.681,3.977,4.233,4.314,-0.03253117356967029,0,0.10025510204081622,4.313
